"thyroid_GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS"	"progesterone_GOBP_CELLULAR_RESPONSE_TO_PROGESTERONE_STIMULUS"	"aldosterone_GOBP_RESPONSE_TO_ALDOSTERONE"	"androgen_HALLMARK_ANDROGEN_RESPONSE"	"estrogen_HALLMARK_ESTROGEN_RESPONSE_EARLY"	"estrogen_HALLMARK_ESTROGEN_RESPONSE_LATE"	"cortisol_glucocorticoid_GOBP_RESPONSE_TO_CORTISOL"
"TCGA.50.6592.01A"	24669.859821209	18765.7771909712	21282.8397985998	25050.7319709047	23059.009278157	23139.3664915764	21508.9086560438
"TCGA.78.7162.01A"	24629.7100596475	16000.2389092156	20790.6024357368	25219.3277365827	23776.1530819405	23462.010747956	26401.391106567
"TCGA.50.5944.01A"	24363.8423497074	16226.6363230283	21343.8966844765	25415.2850677057	23436.872664883	22844.1740054994	25703.6626778531
"TCGA.80.5611.01A"	25267.1498333647	17088.6930239785	19322.1163429538	24743.8334135993	22340.7140687011	22502.4596221321	18730.9547977912
"TCGA.NJ.A4YP.01A"	22872.0508724637	15039.3667658075	20429.8198212608	24053.16589551	23113.8953675688	22881.5519663899	23825.5944181343
"TCGA.69.8253.01A"	25015.8886815046	14445.277569635	21345.2006663553	24574.011773027	23332.8527622302	23162.0606448198	25668.1835516459
"TCGA.78.7158.01A"	21950.5890485252	15276.2450986939	20555.2400313178	24587.4976256726	22179.1850747882	22169.5825426895	22045.2751017647
"TCGA.44.7669.01A"	24948.0196033699	15726.001791862	21094.009947028	24716.2520713287	23048.8498881182	22631.2357183708	23862.6502332246
"TCGA.55.7227.01A"	23831.833352216	15785.7605280281	21621.5740786104	24976.2908410311	23166.6127052442	22663.7879711042	23137.7594115067
"TCGA.NJ.A4YQ.01A"	24693.4191616376	16552.2353505385	21362.4365107144	24339.6696964051	22509.5261370321	22031.5319053706	22024.31472668
"TCGA.L9.A7SV.01A"	22972.9678591773	14149.9063112821	18464.892499927	23421.7374911105	21485.4560931216	20881.7217848173	19109.0699439524
"TCGA.49.AAR3.01A"	24164.5062181649	17708.1259563764	21251.4739623484	24194.6478984767	22351.1764906312	22297.6006199016	20185.8237718945
"TCGA.NJ.A4YF.01A"	22172.468251097	15783.5938312817	19770.8016674817	23870.40355884	22519.6018444593	22099.7285344557	18458.1161457172
"TCGA.78.7163.01A"	23711.3351872581	14722.7204618169	19938.1497727004	25328.3223415234	22581.8428027814	22026.5260015746	20908.4307271115
"TCGA.86.8281.01A"	24412.1950974527	14797.7894072674	20830.7728032968	24627.6304249894	22985.6054978759	22596.3159567933	25169.2292468849
"TCGA.05.5429.01A"	22720.2450060258	16961.543990878	19244.0879897138	24662.9399446515	23305.1588215008	23495.3154940569	19723.5294851952
"TCGA.78.8648.01A"	23992.2258737048	16305.064677124	22249.9340579245	25009.9724984098	23209.4596103268	22960.1222951606	26007.2751954507
"TCGA.49.6767.01A"	22366.6672771929	18614.3368669367	20244.7280664253	24118.4641362955	22482.4482948039	22461.1835974881	19675.8904941176
"TCGA.50.5942.01A"	24210.3833849828	16352.7537012119	21298.9869712083	25292.0908670594	23385.8190210485	22832.9785779698	25219.0525330039
"TCGA.55.8204.01A"	23872.9280934219	16502.1052469631	20862.8502435687	25070.3941926661	23205.8870117783	22988.144094114	20988.1559400042
"TCGA.NJ.A55R.01A"	23544.9893588457	14170.5785580296	20362.4317187198	23922.7804007189	22748.5132394099	22764.7384533696	24812.7436488262
"TCGA.86.8359.01A"	22836.5533560598	16370.5540942203	21634.9696580352	24465.2464074478	23196.8460931742	23000.9295060499	22784.9081275549
"TCGA.99.8032.01A"	23114.9353323162	14169.6383877314	21059.0900605374	24490.7430592477	23202.1053127747	23132.6504242406	24011.9423401655
"TCGA.38.4632.01A"	23270.4657007971	17769.8006273716	22129.1161920196	24634.6602894427	22814.635149735	23176.2313008703	22057.7362554349
"TCGA.44.6148.01A"	23809.1789839509	20029.5520184269	19892.1865691625	25106.7651638446	23501.1275364821	23075.8846093011	27127.6507488578
"TCGA.50.6594.01A"	23804.9728477361	16840.8968937678	19617.829114528	24481.0788428211	22209.3027997383	22063.1733312582	19997.0253308454
"TCGA.97.8174.01A"	23292.5946408391	15167.2239574106	21670.7676272341	24705.61494547	22922.6200909686	22139.3342184425	27739.2953229477
"TCGA.99.8028.01A"	23234.2359715877	17038.7514120382	22293.6353734704	24488.9620776993	23039.8115588095	22754.8014579142	23189.4115310443
"TCGA.99.8033.01A"	24110.938682066	18475.7388269331	19756.7852138496	24160.5559720927	22528.742543301	22642.5528157158	22441.6642304148
"TCGA.49.AARQ.01A"	22623.8921414229	16769.9497771968	20539.1072934031	23298.3046473378	21633.0359604444	22058.6554162778	17576.2368150195
"TCGA.49.4512.01A"	23048.9894723396	15299.310855555	21289.4570833412	24401.0475464687	22784.9062005192	22468.9726332329	21311.0099299903
"TCGA.49.6743.01A"	24490.1062123915	16691.6031428185	21332.6156765382	25163.3598294623	23062.5670810645	22702.2219736579	23753.2143250577
"TCGA.05.4417.01A"	23166.9378109682	16812.9173691907	22060.4782019751	25277.6069776274	23669.9591458641	23504.2205911209	25284.9101867965
"TCGA.69.7979.01A"	23291.8245671314	16959.182219783	20872.4717424292	24466.0846902519	23314.9584927209	22899.8537388131	23672.7140020178
"TCGA.L9.A743.01A"	23233.9705974423	15168.8581577517	22882.3038808804	25033.0275931277	23573.6463804342	23398.3399218853	23824.1169432012
"TCGA.55.8513.01A"	23815.8283004739	16540.6576784763	21486.7768228369	25047.9645099704	23583.9243171332	23480.0923291018	26172.0296099475
"TCGA.97.7554.01A"	23556.5281674428	14536.5079824289	21881.5174928912	24956.7897472735	23300.5042632544	22682.2703179749	23696.1637382227
"TCGA.75.6203.01A"	23899.1918110006	16542.8143164466	21820.0166602435	25467.5587925358	23557.6019247578	23325.0792738682	26745.741005842
"TCGA.97.8547.01A"	23431.7196973361	15329.5602918119	21612.3964258489	24469.7240962644	23090.5586947147	22738.3860510774	21762.4293226775
"TCGA.55.8301.01A"	23357.6188054124	17156.9961597216	21712.3169934364	24446.9882744531	23114.7454181887	22791.0349890616	20379.8025106853
"TCGA.55.8097.01A"	22398.0303343479	14283.4868433842	21163.6189446979	24513.1673585443	22692.216564443	21981.7070090551	23527.1791828937
"TCGA.78.7152.01A"	23611.6337821263	17313.3129602568	22083.3278430217	24579.2600540073	23558.3963910309	23448.413381891	24448.0131821391
"TCGA.NJ.A55A.01A"	23950.5454527169	15511.0175448642	21880.2758554217	24628.7901008296	23230.6769782881	22642.3655427265	24207.0287642624
"TCGA.50.5946.01A"	22261.472245006	15878.1795980475	20091.7721216198	24470.758602503	22028.3964123565	22147.5225410695	20216.3260289361
"TCGA.55.7913.01B"	22932.2988612984	14442.0056139454	19613.2725870496	24420.9916010289	22290.2643428513	21916.9609015877	20918.899794337
"TCGA.44.6779.01A"	25366.6615170723	19368.6021443432	22388.8698423793	25403.6849352841	23787.7999501034	23269.8697744874	22721.04002788
"TCGA.50.5055.01A"	23346.6990381527	15785.0203648376	22076.5104715305	24722.4301976843	23221.0852208615	23333.61923901	24235.8701532832
"TCGA.86.7713.01A"	22676.2421239	16253.0466433934	20965.6930751165	24507.997862277	22680.5132812313	22592.0125625472	23755.3649019275
"TCGA.44.2662.01A"	24231.3884707348	14062.5989868241	19850.5026407102	25045.9448018585	21746.3795567241	20958.5258844072	20042.84163163
"TCGA.44.2662.01B"	23502.4401819416	10338.177851231	15605.3851241715	24268.4702059925	18310.7744249814	16530.6999732942	20508.9605177656
"TCGA.67.6216.01A"	23636.7192794412	15191.2700057859	21809.9757313626	24590.6512733205	23032.7048822528	22796.2915152374	22034.321670009
"TCGA.55.7283.01A"	23274.6925432476	15930.9747197316	20856.6417411161	24998.7811987248	23394.4484534785	23262.9022005188	24723.7806028359
"TCGA.86.8073.01A"	24591.8243763701	14622.8826571914	20446.1198472699	25049.8591353926	23230.1940346242	22874.1931217776	23269.0098459217
"TCGA.49.AARE.01A"	23033.262486559	14785.2728684624	20922.8287126097	23999.7410082504	22357.4748615879	22418.574834052	20823.6603173249
"TCGA.86.8280.01A"	23416.537219404	15306.0816608402	21839.2729006192	24989.4554509925	23242.6514458266	22845.8985290701	24670.9616005819
"TCGA.69.7973.01A"	21909.468292077	15227.306590676	21640.663965114	24887.6597293035	23630.3407495186	23216.8838355408	24314.3123678543
"TCGA.86.6562.01A"	23920.3011458984	15293.7695991435	22170.9864772763	25373.7692779559	23720.5640895876	23299.1874700582	23750.0428952928
"TCGA.50.6593.01A"	24414.5629046199	17298.8667000032	22503.94683001	24929.8345629127	23252.5779518617	22910.3039919385	22840.8244837597
"TCGA.55.7815.01A"	24597.4113573622	18028.4492423771	20244.3481270122	25806.3775170039	23061.0428280951	22725.7391716714	24510.5141986228
"TCGA.05.5715.01A"	23584.4858462844	16707.8257634918	22445.8149177658	25178.6497125806	23520.2403017094	23560.024487122	21648.9280847568
"TCGA.55.8087.01A"	22825.3897463743	14725.9320081611	20180.7976150075	24608.6161934238	22359.4590203961	21864.1063806858	22054.470182873
"TCGA.78.7542.01A"	23177.5931774857	17176.1930682177	20612.6660709217	24829.3401036282	22678.2659799219	22653.8451674456	22130.1317857174
"TCGA.78.7147.01A"	24361.1215361658	14165.690714704	19443.9657923674	24415.8209977217	22785.0295184892	22730.8150409728	20282.2438986334
"TCGA.35.3615.01A"	24345.3120506556	13097.0436030798	20955.3385336549	24184.8687222732	22685.8642121947	22436.3518466126	24825.8102132062
"TCGA.86.8668.01A"	24746.0858030529	16322.2128406552	22834.4944101804	24737.34513467	23255.9223296284	22625.8207874975	24762.4874087733
"TCGA.97.7937.01A"	23242.2057821639	14060.8308871185	21474.4500424132	24757.4227064935	22275.0300465761	22077.143545972	23322.3215616043
"TCGA.50.5044.01A"	22340.5273953637	17041.0394960383	20439.6504390966	24368.3702190614	22852.9873245564	23160.0897271353	23571.2585878396
"TCGA.78.7167.01A"	24438.3316364622	15513.4999704338	19945.0815285967	24081.8670781464	22366.1151405182	21844.7357887077	25052.6927017944
"TCGA.55.8616.01A"	23833.6590812986	15423.0695208391	21581.8289386746	24739.3252095936	23433.1901141997	22943.0694197824	21850.7313829615
"TCGA.55.7570.01A"	23952.5795460373	15235.3109306451	20689.7523686842	24159.4756104675	21919.0440849053	22163.8390446805	20398.5438730461
"TCGA.75.6206.01A"	25032.151277326	17093.0204487132	21568.3029818427	24711.625680174	23481.7261329485	22525.3516510745	26198.7727279934
"TCGA.86.8671.01A"	23149.0519289242	17202.6045709334	22262.3456076101	24684.9330820446	22895.1567194918	22799.5040437288	25282.3613509993
"TCGA.64.1681.01A"	23175.006328659	16781.0129380014	21226.9306279267	24907.4377098797	23242.4632131862	23070.3186630009	23090.0040642008
"TCGA.49.4487.01A"	23840.4716532064	16216.2149398597	22482.4035563413	24516.9946435863	23322.1262044525	23310.8417578153	23319.9923992789
"TCGA.MP.A4TE.01A"	22528.5688814497	16591.9361283995	20567.0209064201	24131.4548335978	23362.810732302	23387.8374041568	22449.2476639215
"TCGA.55.7907.01A"	23706.2001638304	17092.8579024626	21185.5788433538	24687.8313404168	22708.867770282	22696.7297249728	20867.5040125389
"TCGA.86.8672.01A"	24879.5340024485	17928.1360267725	19504.778891829	24342.2456555726	22989.688254114	22889.037152882	22080.5116117963
"TCGA.78.7160.01A"	24995.1155138796	16256.9834519634	21807.4996325182	25474.4170991161	23766.784286628	23336.4101147549	25953.847475107
"TCGA.78.7153.01A"	22993.8059502444	15302.4354155067	19966.8007887238	24645.1566034781	23087.5964636525	22999.7831677736	22164.0589837507
"TCGA.44.7659.01A"	24019.2398869537	15332.8064822233	21688.7870771091	24495.1743290404	22975.2760064326	22509.784877122	22049.2994685066
"TCGA.55.7914.01A"	23384.1062819176	16815.934023101	20403.6819008683	24255.0695022906	22538.9291813094	22115.1804900833	22014.9468452378
"TCGA.67.6217.01A"	23735.9334840849	14531.9209526386	21872.2871639785	24777.7768175617	22991.8596177133	22340.2498629143	23788.194321591
"TCGA.55.8091.01A"	24191.3438086359	15178.0498366224	22201.9103802098	25595.6339809257	23193.5424938741	23034.2937880264	21300.9365589842
"TCGA.86.8076.01A"	23890.3431651497	15600.0292454355	21894.6058246888	24782.5525218344	23179.82175431	22951.2725606349	24127.3441160139
"TCGA.78.7166.01A"	24283.3392116872	15633.5413401807	19001.3449165401	24130.6642266918	22548.0652306639	22493.5802518425	22251.7675713952
"TCGA.44.2659.01A"	22845.5105689718	14084.1021502522	20919.3953273068	24849.518232326	22688.5923460839	21952.636758214	22429.409504964
"TCGA.55.8511.01A"	23749.4522436672	14733.1319270969	22560.8494557226	24791.4191501847	22970.5070850243	22300.7457856806	22378.9001257534
"TCGA.50.5072.01A"	24721.2317557148	14555.0513906861	21615.9806485572	24846.6995787474	23754.8139827045	24252.2274144893	24061.0890728263
"TCGA.55.8090.01A"	22611.781108774	15313.2982882575	21824.8849233856	24706.460632942	23012.6390493097	22891.0639343772	23994.5381583023
"TCGA.MP.A4TH.01A"	22160.9223383803	14333.8961084363	22161.7346801623	24672.7397236454	22870.5463370223	22105.3452267266	25458.0871632749
"TCGA.64.1679.01A"	23805.1088857754	13967.1971551181	21577.6071458967	25273.0883552066	23834.8667841181	23381.4009125942	23605.4795911161
"TCGA.50.7109.01A"	22898.2237606587	17182.9441362913	21467.1893247293	24730.639738148	22455.7534415465	22325.1831437946	24014.9706081093
"TCGA.78.7161.01A"	22682.6217055538	15644.6076601709	20687.7015903566	24546.7065119235	22805.8384427852	22406.2389537044	25597.371032547
"TCGA.69.7760.01A"	22892.7869637083	15992.4239690752	20190.2984821706	24718.9051023585	22586.6885746086	22052.8592323688	20125.4537430258
"TCGA.62.8397.01A"	22553.4987867143	16046.1165377076	22614.8150484991	24519.9628970865	23132.1123647003	22806.5941043478	20959.0516692501
"TCGA.MP.A4TJ.01A"	23003.3750919875	16321.3888246626	22474.7977252516	24872.2858249544	23330.4185054118	23260.9696236348	23719.5832437377
"TCGA.75.5126.01A"	24441.3586319565	18081.9791445635	22329.3854191311	25049.5303967742	23298.7456353049	23336.5732655246	24217.6383314857
"TCGA.91.6828.01A"	23499.592705708	16485.5442500707	21987.8033722717	25496.552928985	23417.5683052182	23170.9325887822	24818.3289848154
"TCGA.49.AARN.01A"	23253.8207437588	16641.1066697871	21336.3736701089	24311.3174154364	23606.4190977098	23483.4155639829	20592.6360389556
"TCGA.50.5049.01A"	24155.5869743949	18563.9351372262	22315.1538139555	24819.9875237851	23164.5933688164	23094.0506556381	24731.375308132
"TCGA.49.AARR.01A"	24069.9310580328	16601.8587093175	20996.4187922925	24999.9884254868	23542.339044888	23220.7578594018	24818.4213463167
"TCGA.97.8552.01A"	23471.7276596125	14971.5034695241	21908.3622504178	24563.5424905912	23182.3480501412	22984.8721474711	24131.2160524467
"TCGA.75.6205.01A"	24283.4717415135	17899.0132966008	22911.5087129171	25265.2004661739	23138.7744514502	22854.8845771321	22456.0385294245
"TCGA.50.8459.01A"	23105.2042534154	16239.0389261929	21928.5503420541	24929.7004324315	23661.3234606826	23430.7405162432	23280.4580695656
"TCGA.69.8453.01A"	23747.9797500923	16624.9037286377	22249.7506665981	25119.5474010843	23993.2206763023	24167.3389946855	25338.2511101375
"TCGA.78.7150.01A"	24280.8385407728	15616.8430978722	20527.3365805727	24942.6232519094	23463.418813043	23475.4715997347	20873.3985453724
"TCGA.55.8614.01A"	23421.180854956	15621.5350372392	21845.6828947508	24987.959609125	23570.3270240531	23316.8995254136	23087.3856069262
"TCGA.L9.A50W.01A"	22408.9895214101	15523.2748278793	21388.537592048	24257.1877698035	22718.1828337792	22485.4866416324	19407.8856643994
"TCGA.78.8655.01A"	23851.1765833405	17665.3863659326	22515.62070755	24719.7570608175	22788.918357749	22579.8516417506	23210.4243085628
"TCGA.86.8278.01A"	23446.0661699698	13710.1170526519	21907.6610898137	24745.8028324635	23326.7905336852	22979.316307804	21117.0460626731
"TCGA.44.7662.01A"	24138.957260599	15524.1792018707	20375.6442927531	24605.0377558399	22709.8033445066	22247.8538642983	20935.8078225975
"TCGA.95.7944.01A"	22887.3417573523	17490.0611077782	19246.0961246653	23941.3626799059	22489.3738445686	22548.8366708	21629.0601261721
"TCGA.55.7995.01A"	24228.6576941323	18693.2880783726	22671.0343059353	24479.6340138633	22731.456971607	22812.4569293838	20703.2145946273
"TCGA.55.7910.01A"	22512.4527989181	15108.9812345947	20842.6125804856	23879.9708068581	22564.6567721926	22286.7025893211	22334.0162175024
"TCGA.05.4433.01A"	23917.0443513115	17705.6014930686	21284.4270499411	25196.2120491916	23783.7050292196	23770.7555477581	24587.8156190498
"TCGA.69.7980.01A"	22986.656247632	15940.0675415879	20137.6300953255	24276.4069392693	22858.7830599231	22759.6324720697	23245.6666396292
"TCGA.49.4514.01A"	23611.9382893587	17345.8880745363	20214.1149157968	24230.1133042971	22932.6591485087	23441.0959834219	20898.9283910456
"TCGA.97.7941.01A"	23886.2205030581	17382.585123042	20946.1625835688	24541.2762983809	23798.5815364156	23644.1056807666	24622.5637364496
"TCGA.75.5147.01A"	22905.2439451323	13857.0133998751	21453.8551083505	24693.7696832968	22553.4049822906	23167.4806036267	19896.516220042
"TCGA.78.7154.01A"	24891.6014112018	16457.2812281903	19979.7642379608	25154.1188154373	23796.1274444501	23542.9323933154	24447.38332778
"TCGA.95.A4VK.01A"	22834.4698589897	14730.5099549267	21510.9138570681	24480.3327681583	22703.3293692808	22466.5515455695	24944.261462042
"TCGA.55.8507.01A"	23100.4041459966	16283.323253749	21192.5810210279	24315.5801878059	23128.6396310626	23387.1439210655	23266.1984304509
"TCGA.53.7626.01A"	23715.5844079433	14924.5317511005	22759.987623922	25254.315315349	23420.2472597133	23037.5286537449	25866.7009692352
"TCGA.50.8457.01A"	23849.8480585654	15774.1400442947	22429.4459526928	24904.4377079675	23544.6377978985	22755.5805608125	22783.7667556005
"TCGA.44.2668.01A"	23155.6759307343	16758.5494466109	21683.0997156919	25109.6489198226	22768.8917985911	22679.822970499	21956.7551869911
"TCGA.86.8673.01A"	22457.4792928203	15692.4766914492	21207.0849419237	23964.3626155221	22828.7737321144	22745.5927669656	20306.4249111757
"TCGA.91.6831.01A"	23398.7750989024	17527.2587034062	21728.0530560682	24553.7220352886	22647.047197941	22590.2590193932	21449.5475270991
"TCGA.55.7728.01A"	21965.2355408676	16483.051247162	21246.0840274294	23810.5666428664	22813.3353329821	23086.7708175724	20836.1903118789
"TCGA.67.6215.01A"	23521.3274235876	14073.7155122903	21686.3551252801	24725.3085375202	22948.0179430822	22710.9261173816	22444.2259569552
"TCGA.44.5645.01B"	22215.9966893263	12156.1764727356	15103.5443016109	23612.6280158247	17757.7148084177	16106.955270022	20446.7296409159
"TCGA.44.5645.01A"	24316.780154802	15939.4764884371	21321.8178492051	25035.6530322639	22879.5812578878	22455.3859698999	23157.9880536828
"TCGA.44.2666.01A"	24413.2754042078	15448.8145563733	21218.5873062344	24621.0154092007	23424.4619918716	23256.3202401492	24557.8960852591
"TCGA.55.6543.01A"	24650.0286235049	15283.6956848468	21625.4937570234	25732.7336553663	23633.4523310691	22879.841062571	23633.8021789859
"TCGA.55.6712.01A"	25183.1947703401	15984.3428733293	22499.8280962141	25130.2798885901	23070.8186983104	22856.9040070091	23347.5918447784
"TCGA.69.7978.01A"	23708.3621724517	17337.92729282	21543.5795616816	24777.2258912817	23033.0717970983	22710.3773716255	22112.6079441237
"TCGA.93.7347.01A"	23146.9613676609	15928.851260347	22350.3999813839	24826.6190688436	23367.1756011528	22998.8702735748	22273.0441151571
"TCGA.44.2665.01A"	21995.4988683366	10981.6983135661	18649.0124829967	25073.1610856866	21040.5116094155	20676.3747450848	21491.4762244502
"TCGA.78.7146.01A"	23792.7202420291	17739.0779539181	19776.3865065059	24830.7042923003	22660.590712134	22615.1195096064	19632.680912343
"TCGA.05.4415.01A"	24252.4739419496	16300.0692323882	22501.3942711822	24673.2442671245	22231.3161586201	22527.2233885819	22324.7251917005
"TCGA.55.7727.01A"	25543.1928222639	15922.3800053355	20767.1125296798	25237.7965057578	22783.2260853538	22366.5717103361	23655.6173825298
"TCGA.99.AA5R.01A"	23117.2747166883	15323.2344319982	22225.9692622281	24666.6215822619	23125.9334407177	22794.4372151034	25891.1295392495
"TCGA.44.2668.01B"	21026.4064190007	15343.8230630876	17344.7162712736	23966.8358082477	18937.743220594	18275.1391761207	19745.6501507074
"TCGA.49.4488.01A"	24533.823297964	16632.283556855	21304.3021815048	24462.5869492316	22650.2311420328	22873.6323170788	21165.877271052
"TCGA.78.7536.01A"	22687.1788406857	18429.9423841288	19595.4917030788	24762.8303615713	22384.6420071989	22197.2721567892	20448.4367385926
"TCGA.44.2666.01B"	22267.6288017106	15902.7521662447	15779.6316199181	23858.6210764326	19722.2887615623	18541.0149894347	21386.6171364756
"TCGA.93.7348.01A"	23660.2996224872	16550.6133566189	22152.9181875093	25277.8600993434	23474.2509724382	23150.1360561063	22343.1405679829
"TCGA.50.5936.01A"	25663.3555057938	16303.5191073691	21074.9713314898	25175.0425477532	23543.8134810591	23275.7978102357	23489.322437213
"TCGA.97.7938.01A"	24050.3192413693	15422.665449501	21490.7731629221	25586.4467828343	23464.5351923567	22929.9953770049	25149.5661772299
"TCGA.78.7148.01A"	25084.9687015064	16189.3741891473	20467.2734503769	25287.9596134821	23618.6293930074	23389.2004989537	25138.9007866949
"TCGA.97.8175.01A"	24327.659184885	13892.0711287374	20628.685982686	24641.8981393176	22805.7245966743	22828.3454095688	20929.8604196839
"TCGA.50.5941.01A"	23775.7552448152	18948.5469643716	22560.7655946861	25041.6807251999	23162.5679897844	23088.1183930801	23952.0571628483
"TCGA.49.AAR2.01A"	22542.9759660637	16208.0163157789	18816.5795799514	22640.7995287477	20959.6041796407	21722.6975593289	20953.1033753366
"TCGA.64.1676.01A"	24104.932709999	16774.3037547702	21229.1372984315	24485.9697426383	21976.821713044	22535.0368112415	20700.8569975054
"TCGA.64.5774.01A"	22641.3045089569	17355.0061554007	19795.187022937	24341.1776400415	22757.7267712215	22524.9750342525	20480.021691546
"TCGA.44.2665.01B"	20559.691506555	16129.2761977565	16509.9118343168	24469.6525489146	18973.4815084009	17914.2855946886	20473.9296702189
"TCGA.55.1596.01A"	23891.9254616608	17126.3245738148	18515.706798649	24530.7665421152	22476.1946185639	22481.9192321303	20188.1534960281
"TCGA.50.6597.01A"	22874.8827082029	16306.2858529045	20220.6389829063	23702.39436928	22559.5733341537	22746.3765573686	20497.7101752459
"TCGA.67.3770.01A"	23115.1446449076	15199.0996212725	20760.2487653872	24512.2157216158	22608.3844931359	22574.3449220207	22778.8819341467
"TCGA.44.6146.01B"	21379.4429773901	15201.5069839153	15448.7503156809	24506.0685498916	20169.494964359	18900.2243740393	23335.8652992518
"TCGA.64.1677.01A"	22847.136129	14243.2439154681	20820.6234819255	24212.0973605008	22303.0877961567	22925.7403675595	20201.4224381904
"TCGA.44.8119.01A"	22613.9778753766	15231.6584616449	21903.6603253571	24953.3202614204	23357.7540796144	23226.1821161349	23656.3370296967
"TCGA.50.5935.01A"	23346.441035169	14828.8317168584	21277.2093419664	25045.9629991576	23675.634275281	23236.0911316521	21044.4978824122
"TCGA.J2.8194.01A"	24331.1685457868	14983.5804414943	21941.1266183496	24673.0439324594	22994.2216229574	22533.4720045848	25776.1096473594
"TCGA.05.4427.01A"	22535.699922014	17172.2669639549	21425.8264655167	24496.0380414646	22377.6143337094	21886.2798437631	22926.2578297719
"TCGA.62.8399.01A"	22764.8877267809	13956.85408087	19881.8615707626	24766.2248201824	23353.211014258	22769.7404547891	24651.1288669455
"TCGA.49.4490.01A"	23754.621047255	15313.6357733586	20957.2457477492	24355.3126361601	23329.1448855242	23123.0268553025	22240.9061441123
"TCGA.67.3772.01A"	23651.9153183861	14687.4838780369	22198.6796351242	25173.5269477032	23265.6402140164	23154.3008966263	24452.3314878312
"TCGA.78.7537.01A"	23625.6772993556	14665.9745357984	21514.6424644209	24297.9889480792	23329.950298819	22920.1258927373	25249.5484604058
"TCGA.69.7761.01A"	23441.5522961175	15973.0643662969	20840.0125499741	25289.4753627656	23067.0256778978	22926.3179970231	20697.5043728409
"TCGA.73.7499.01A"	22806.0899752109	15377.4323677173	20724.139701838	24562.4986356064	22416.0290523933	22730.7704496168	19202.33843357
"TCGA.44.6146.11A"	23637.4096674083	17091.5625081166	21521.7623597789	25438.7902197729	23611.8807205628	22992.3937262655	28189.6834936486
"TCGA.38.4625.11A"	23580.4375987775	16044.245068561	22367.05531807	25154.42486067	23645.1355499783	23261.6125595172	26750.6157103952
"TCGA.49.6744.11A"	24483.8535120094	14647.3274821346	21697.0910197988	25804.4184024287	23679.5366860443	22984.1406119577	28196.2146437736
"TCGA.55.6978.11A"	23890.1417135225	16321.3899511192	21487.8851855469	25265.5495279611	23428.9104787608	22746.5384349179	27367.4368839768
"TCGA.44.6144.11A"	23503.2340031951	16436.6783708178	22116.7571522526	25284.9380933766	23395.2403611057	23173.3168195166	27308.1677046388
"TCGA.55.6980.11A"	23675.6308610013	18809.988206413	21080.8729919145	24964.9397339968	23108.1417253387	22696.3406862019	27530.4928308325
"TCGA.44.6777.11A"	23784.4698306524	16757.4382338338	22470.9945176825	25396.9621833632	23699.3845529806	23478.8831622055	27376.2912519681
"TCGA.55.6982.11A"	23904.2274886801	17580.2927799079	21542.7460281438	25155.1279309884	23190.9234909405	22608.7949648659	27687.3275892794
"TCGA.49.4490.11A"	23907.9795364553	16181.6263756765	20837.068438671	25269.4889719041	23300.1868322195	23261.5533917612	27107.9570046127
"TCGA.55.6968.11A"	23361.1453489405	16396.9339360477	23296.735081644	24961.6167263277	23096.5884321805	23084.3378225695	26170.390194708
"TCGA.55.6971.11A"	23698.7042852804	17354.4263874181	21440.7754285635	25359.7448859227	23404.9626407089	22773.1242830718	27315.926170058
"TCGA.44.6776.11A"	24045.5521593208	15330.4377707926	21507.36075709	25728.7218860597	23781.0115655309	23242.3020393992	27000.7075433135
"TCGA.44.6147.11A"	24067.4458043358	14145.5891711295	21447.1473017123	25895.6548238211	23636.2552524864	23179.6121651934	27232.7381374518
"TCGA.55.6981.11A"	24921.2844998403	15593.7987148092	21582.1331635213	25194.3137155589	23303.618409333	22775.8604626629	27522.1835290798
"TCGA.44.2655.11A"	23591.2625379092	14719.5032376058	22546.9735900754	25346.0226101141	23703.1315497054	23283.7445528099	27918.8786284622
"TCGA.50.5931.11A"	23908.581706354	14906.5646344813	22476.4137027807	25650.2341011145	23543.6311786491	22873.8033226136	26965.3040995552
"TCGA.91.6829.11A"	23400.5834425791	15642.1926815084	22417.2111031907	24980.6728837958	22764.0830023398	22575.9800427816	26040.2650132977
"TCGA.50.5930.11A"	23950.2852573767	15823.4961281677	21860.1921947426	25625.3462885011	23556.0701243952	22992.0786991284	27489.065301023
"TCGA.44.3396.11A"	23816.9982464027	16097.5312557352	22125.8149129124	25928.6397228256	23976.1366653176	23407.9205080501	27832.6381121989
"TCGA.49.6761.11A"	23547.4403763038	16024.9325209666	21922.2710333588	25334.8511008749	23499.6855978835	23183.6467526564	26878.5464050495
"TCGA.55.6983.11A"	23726.1371022142	16858.5746552232	22388.5780485892	25589.947530264	23278.8490905049	23031.493419683	26286.2316609648
"TCGA.49.6745.11A"	23899.0965287505	16053.4967977696	21277.976403457	25106.9854475888	23092.7196426969	23258.1340202626	26231.5731790428
"TCGA.50.5932.11A"	24015.7390935902	15713.0427089133	21894.2328332161	25567.509609084	23688.7689018164	22965.4271314576	28278.1610572681
"TCGA.73.4676.11A"	23886.6409683379	15937.4583870298	22259.9617541167	25593.4523022116	23424.8413238569	23110.6071150555	26664.3917453145
