"thyroid_GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS"	"progesterone_GOBP_CELLULAR_RESPONSE_TO_PROGESTERONE_STIMULUS"	"aldosterone_GOBP_RESPONSE_TO_ALDOSTERONE"	"androgen_HALLMARK_ANDROGEN_RESPONSE"	"estrogen_HALLMARK_ESTROGEN_RESPONSE_EARLY"	"estrogen_HALLMARK_ESTROGEN_RESPONSE_LATE"	"cortisol_glucocorticoid_GOBP_RESPONSE_TO_CORTISOL"
"TCGA.05.5423.01A"	22989.0000334805	14390.6169395323	21769.3791821883	24811.791652083	22582.8515083677	22966.8132824066	22026.6872868105
"TCGA.86.8055.01A"	24639.7937029101	14712.3921951509	21343.3532626422	25220.2980188914	23367.6815982244	22888.8040059271	23515.5148874762
"TCGA.97.7553.01A"	24344.1229485145	17366.6151190906	22342.2876502566	25340.0189380319	23488.0903375355	23147.4183454152	26098.5681369788
"TCGA.71.8520.01A"	23175.1758514439	16076.0227917338	21178.3330440765	24568.2911640313	23109.6936112515	22597.2357713309	20988.7198721741
"TCGA.MP.A4TD.01A"	23101.0384416921	15315.606957797	21822.1028076275	24448.7502562522	23472.175471387	23079.5804763019	25595.0327835373
"TCGA.95.7567.01A"	22900.9025431195	16774.0281230557	20912.5023611227	24335.4058509925	23139.4450354209	22783.7610474312	21047.8270878201
"TCGA.69.7974.01A"	24174.4382234513	18453.4518865793	22221.9094803662	24946.2086098404	23404.7537071218	23240.1348100332	24290.2651733759
"TCGA.55.8506.01A"	22870.370327139	16760.3478568252	23146.5059740552	24378.9430175087	22845.9864533517	22641.6461503875	19649.6320074066
"TCGA.64.5781.01A"	23772.5096338257	16324.5047713061	20179.6269827884	24308.4692065287	23387.3007947567	23616.4908192471	20268.5335843731
"TCGA.44.2656.01B"	23540.3640954946	12910.1952781358	16293.7127065437	24422.0766935337	18704.8875627395	17446.571586568	21857.4844855704
"TCGA.44.2656.01A"	24279.9830524883	16615.7171416687	22226.5231107147	25051.6169938019	22734.9467874054	22511.5157470086	23872.4982367925
"TCGA.53.7813.01A"	22193.1807819684	18073.9878020991	20421.9917478943	24656.6469566686	22053.1637812546	22258.3376861454	20722.1318766826
"TCGA.86.8074.01A"	24544.9143872165	15767.7096782201	21113.2360275731	24899.7933317943	22881.4165537883	22563.5988512401	22601.1456336333
"TCGA.86.8056.01A"	22971.5868110284	13796.1253531613	21281.4632510782	24970.5317256445	23139.496709695	22258.6366533281	23407.0483272054
"TCGA.55.6642.01A"	23330.668195575	17218.7986067448	21929.6965679809	25148.3210769294	23412.4312871964	22756.3644602492	22979.2422827582
"TCGA.55.8092.01A"	22738.6455480315	15802.556581256	19226.0060879161	23976.2483339576	21992.6637259513	21601.9622402687	20435.8300953508
"TCGA.49.AARO.01A"	23009.2626353864	15341.8502170662	21957.4339710147	24131.3985186297	22896.4799400053	22648.3551378559	20915.7139458897
"TCGA.86.7953.01A"	23045.2829753836	15883.5197530828	22318.5427895186	25181.1121404266	22857.6602617402	22610.1660584217	22687.2677171782
"TCGA.86.7714.01A"	25099.3757854429	17089.7038787906	21711.0570650683	25333.8166263566	23036.9417055048	22469.7918564622	22571.4619745332
"TCGA.78.7145.01A"	23913.1751281688	17186.6419263975	21870.8275230597	25070.1760344778	22852.477976942	22794.7548324492	22402.9730051691
"TCGA.78.7143.01A"	24672.5489283839	14494.1918707371	20793.4146589238	24860.7067682371	22972.9729186635	22668.5369669874	21717.085758362
"TCGA.53.7624.01A"	23976.2129935023	15868.3425137248	19480.9831065815	24562.6973578715	23028.0859378898	22721.8888859273	18746.2472161861
"TCGA.91.8499.01A"	23457.1917792308	16594.4234131393	19919.4210883215	24107.9199527797	21529.8029850029	21966.9018898666	20597.8365887792
"TCGA.69.8255.01A"	23849.7818901481	17871.0430870807	20278.5400658403	23886.6969575385	21106.358995084	21898.4253308703	21591.3669048742
"TCGA.50.5068.01A"	23436.6971842946	16579.3790825061	21702.645403964	24587.6152306122	22046.2261024324	22480.7108649451	21477.6966636626
"TCGA.44.6145.01A"	24562.433548388	17787.6121532367	20949.5486394953	24988.9503693764	23493.4776885366	23338.5745553652	23585.2489816149
"TCGA.MP.A4T6.01A"	22539.7317864024	14772.005378054	21292.635842509	23470.2611483609	22045.9488963127	21824.4586063529	20545.4831038249
"TCGA.05.4425.01A"	25281.0747833523	16399.6326882622	22080.0140623891	24916.9014298038	23454.773052069	23512.9800059784	24084.0334810089
"TCGA.55.8514.01A"	23223.2300063696	14022.8385925533	21531.7531804478	24205.5841320884	22382.1590938782	21792.8714606769	22063.8037768217
"TCGA.44.8117.01A"	23446.191542639	15033.7138229145	21752.3097982296	24469.9976243159	22804.0575916228	22127.0544788147	22260.1628153801
"TCGA.95.8494.01A"	22886.2979948628	16038.4990431739	23205.664600531	24200.8176703112	22097.7503041908	22194.3240337193	19607.950064887
"TCGA.49.AAR4.01A"	22706.4458317182	14955.2815567955	20874.6476557385	24243.5671360019	22756.2043401788	22882.1662067832	19367.2066417923
"TCGA.78.7539.01A"	23023.9741454437	14664.9018736529	21551.9369586676	24114.2666079408	23212.8063644251	22777.1370382814	21599.0302915182
"TCGA.MP.A4TF.01A"	22841.1749039213	16050.1974704852	20675.2927765826	24343.1798816081	22441.551499413	22565.6236911902	20886.8534355827
"TCGA.50.6595.01A"	23426.0871942059	17870.0783560267	20889.1405594552	24944.1972150439	23282.2645143465	23235.9809142823	22920.8010694469
"TCGA.99.8025.01A"	22968.2847809953	14419.0286000006	20980.7584271932	24364.9393946114	22955.2857236303	22211.4547478561	20027.1980145969
"TCGA.NJ.A55O.01A"	23937.6484999024	14916.028252653	21851.1334752773	24908.0998455438	23597.7310200558	23398.0717351855	25320.9889897322
"TCGA.64.5778.01A"	23759.2073331762	16307.41176882	21394.00861927	23978.223597867	22431.5125893053	22687.1058721767	21557.3175196456
"TCGA.L9.A8F4.01A"	23349.1667240778	15973.6817559891	21807.677950251	24002.9928706793	22598.1363272728	22425.5958798269	21070.2159703308
"TCGA.55.8205.01A"	22874.4179804676	19726.6874585429	21248.6010886654	24640.3557239349	22770.6061094793	22487.5911840815	24066.4628664736
"TCGA.MP.A5C7.01A"	23086.9268621345	15606.2084079052	19342.0320245188	23875.7863530875	22347.2267681939	21969.8716016137	23287.6568220347
"TCGA.55.8510.01A"	24956.4999428007	16486.6125683548	21924.4736722593	24423.9406299042	22993.2732028192	22847.9920028614	23308.44809354
"TCGA.99.7458.01A"	25243.7041327271	15409.8718209098	21636.1221024684	25167.0674552608	23483.2466636876	22956.8325281877	24197.1794311239
"TCGA.49.AAQV.01A"	22623.6679071393	13955.6490981306	21188.0714415382	24322.4211153582	22969.8964796154	22584.7007154864	20279.1694667944
"TCGA.05.5425.01A"	24199.9226485767	16931.3624182295	21551.1012147715	24927.1055683276	23331.2374906027	23576.1366200974	23955.1266577905
"TCGA.44.2655.01A"	24069.7786103745	13716.8359608658	21123.239630227	24468.3518381834	23161.8061999984	22953.9447092813	25191.9625973309
"TCGA.55.1594.01A"	23938.338924175	17328.4025011727	20786.3043709561	24209.8495943395	22584.9845023449	22442.1805412014	21711.7437480573
"TCGA.50.5932.01A"	24380.5570489779	17227.066776769	20321.1533811559	24942.0585318512	23245.3915941017	22519.2922835119	25439.6519924197
"TCGA.55.8619.01A"	23377.7165377157	16338.476256066	22284.4431388609	24741.5799120542	23596.5685464966	23450.8825435836	25841.1992351279
"TCGA.05.4384.01A"	25286.7026050853	15238.7808827049	21896.7737464163	24944.7768447702	23540.2897221439	23038.582343666	25863.382116731
"TCGA.38.4631.01A"	23763.9237315883	17334.1991150525	19499.7613143778	24249.3198913455	22010.5106992869	22541.4271738644	19397.5454151898
"TCGA.44.6776.01A"	24704.8767063621	15940.2857025604	20990.8425308688	25070.2003321978	23683.6399764676	23195.6561474197	25687.8093831473
"TCGA.95.7562.01A"	23756.8076871722	15768.5631076272	21725.6613047275	25028.5007254847	22759.0258140118	22583.7031046195	20314.130220257
"TCGA.95.7947.01A"	24143.5246186912	15147.9747888378	20895.5229703813	24970.3670614532	22831.056140709	22623.9636234462	23628.0015234683
"TCGA.05.5420.01A"	23276.6311309033	19139.1751860562	20791.9695448935	24665.6707708204	21735.9991185475	22401.3895173903	22944.9399596908
